product_id,product_name,category,brand
P00014,Drone Mini,Books,BrightLux
P00040,Microphone,Home & Kitchen,UrbanStyle
P00044,Power Bank 20000mAh,Clothing,UrbanStyle
P00041,Webcam Full HD,Home & Kitchen,Zenith
P00029,T-Shirt,Clothing,KiddoFun
P00023,Cookware Set,Books,ReadMore
P00030,Dress Shirt,Clothing,UrbanStyle
P00028,Jeans,Toys & Games,KiddoFun
P00031,Kids Toy Car,Sports & Outdoors,Apex
P00001,Wireless Earbuds,Clothing,Apex
P00046,Car Charger,Books,HomeEase
P00042,Projector Mini,Home & Kitchen,KiddoFun
P00018,Vacuum Cleaner,Home & Kitchen,Zenith
P00040,Microphone,Home & Kitchen,Apex
P00035,Desk Plant,Books,HomeEase
P00028,Jeans,Sports & Outdoors,HomeEase
P00025,Running Shoes,Home & Kitchen,Zenith
P00039,Graphic Tablet,Toys & Games,KiddoFun
P00033,Puzzle 1000pc,Electronics,ReadMore
P00040,Microphone,Sports & Outdoors,HomeEase
P00028,Jeans,Toys & Games,Apex
P00010,Smartwatch,Books,ReadMore
P00003,Smartphone Case,Toys & Games,Apex
P00021,Backpack,Electronics,ReadMore
P00008,4K Monitor,Toys & Games,KiddoFun
P00030,Dress Shirt,Clothing,Apex
P00036,Smart Light Bulb,Toys & Games,UrbanStyle
P00019,LED Desk Lamp,Books,HomeEase
P00036,Smart Light Bulb,Electronics,Zenith
P00045,Phone Tripod,Toys & Games,ReadMore
P00046,Car Charger,Books,Apex
P00006,Gaming Mouse,Sports & Outdoors,FitLife
P00047,Memory Card 128GB,Electronics,CoreTech
P00046,Car Charger,Clothing,HomeEase
P00021,Backpack,Sports & Outdoors,BrightLux
P00033,Puzzle 1000pc,Books,BrightLux
P00032,Board Game,Electronics,CoreTech
P00015,Instant Pot,Electronics,ReadMore
P00040,Microphone,Home & Kitchen,FitLife
P00010,Smartwatch,Books,HomeEase
P00035,Desk Plant,Sports & Outdoors,Zenith
P00022,Water Bottle,Books,HomeEase
P00031,Kids Toy Car,Home & Kitchen,FitLife
P00025,Running Shoes,Toys & Games,HomeEase
P00035,Desk Plant,Electronics,Apex
P00009,Portable SSD 1TB,Toys & Games,HomeEase
P00039,Graphic Tablet,Electronics,CoreTech
P00030,Dress Shirt,Toys & Games,FitLife
P00014,Drone Mini,Books,ReadMore
P00012,Noise Cancelling Headphones,Books,KiddoFun
P00047,Memory Card 128GB,Books,FitLife
P00039,Graphic Tablet,Electronics,UrbanStyle
P00050,Novel Bestseller,Electronics,NexPro
P00049,Children's Book,Sports & Outdoors,FitLife
P00044,Power Bank 20000mAh,Electronics,NexPro
P00044,Power Bank 20000mAh,Home & Kitchen,Apex
P00022,Water Bottle,Sports & Outdoors,HomeEase
P00005,Laptop Sleeve,Clothing,UrbanStyle
P00016,Air Fryer,Toys & Games,Apex
P00027,Winter Jacket,Electronics,NexPro
P00037,Router,Books,BrightLux
P00025,Running Shoes,Home & Kitchen,ReadMore
P00004,USB-C Charger,Toys & Games,HomeEase
P00037,Router,Books,CoreTech
P00039,Graphic Tablet,Toys & Games,Zenith
P00037,Router,Books,FitLife
P00046,Car Charger,Home & Kitchen,BrightLux
P00008,4K Monitor,Clothing,Zenith
P00050,Novel Bestseller,Books,NexPro
P00041,Webcam Full HD,Electronics,BrightLux
P00022,Water Bottle,Sports & Outdoors,Zenith
P00011,Fitness Band,Home & Kitchen,Zenith
P00027,Winter Jacket,Toys & Games,CoreTech
P00039,Graphic Tablet,Home & Kitchen,CoreTech
P00010,Smartwatch,Sports & Outdoors,NexPro
P00010,Smartwatch,Clothing,CoreTech
P00026,Sunglasses,Toys & Games,NexPro
P00011,Fitness Band,Electronics,ReadMore
P00009,Portable SSD 1TB,Home & Kitchen,CoreTech
P00007,Mechanical Keyboard,Electronics,CoreTech
P00010,Smartwatch,Toys & Games,BrightLux
P00030,Dress Shirt,Home & Kitchen,ReadMore
P00016,Air Fryer,Books,UrbanStyle
P00040,Microphone,Sports & Outdoors,KiddoFun
P00036,Smart Light Bulb,Electronics,HomeEase
P00017,Electric Kettle,Sports & Outdoors,KiddoFun
P00017,Electric Kettle,Sports & Outdoors,UrbanStyle
P00023,Cookware Set,Electronics,HomeEase
P00029,T-Shirt,Books,Zenith
P00015,Instant Pot,Books,ReadMore
P00016,Air Fryer,Clothing,NexPro
P00045,Phone Tripod,Sports & Outdoors,ReadMore
P00022,Water Bottle,Home & Kitchen,UrbanStyle
P00048,Wireless Charger,Clothing,HomeEase
P00045,Phone Tripod,Electronics,KiddoFun
P00043,HDMI Cable 2m,Electronics,NexPro
P00048,Wireless Charger,Books,NexPro
P00036,Smart Light Bulb,Electronics,CoreTech
P00028,Jeans,Books,CoreTech
P00023,Cookware Set,Electronics,Apex
P00018,Vacuum Cleaner,Sports & Outdoors,ReadMore
P00014,Drone Mini,Books,FitLife
P00045,Phone Tripod,Home & Kitchen,Apex
P00031,Kids Toy Car,Toys & Games,CoreTech
P00033,Puzzle 1000pc,Electronics,HomeEase
P00017,Electric Kettle,Toys & Games,BrightLux
P00036,Smart Light Bulb,Sports & Outdoors,UrbanStyle
P00034,Desk Organizer,Clothing,HomeEase
P00005,Laptop Sleeve,Sports & Outdoors,HomeEase
P00023,Cookware Set,Sports & Outdoors,HomeEase
P00029,T-Shirt,Clothing,BrightLux
P00022,Water Bottle,Books,KiddoFun
P00024,Yoga Mat,Sports & Outdoors,UrbanStyle
P00036,Smart Light Bulb,Clothing,HomeEase
P00012,Noise Cancelling Headphones,Home & Kitchen,UrbanStyle
P00021,Backpack,Sports & Outdoors,KiddoFun
P00042,Projector Mini,Clothing,HomeEase
P00006,Gaming Mouse,Sports & Outdoors,KiddoFun
P00009,Portable SSD 1TB,Home & Kitchen,FitLife
P00050,Novel Bestseller,Books,CoreTech
P00017,Electric Kettle,Toys & Games,Zenith
P00008,4K Monitor,Sports & Outdoors,Zenith
P00050,Novel Bestseller,Home & Kitchen,ReadMore
P00043,HDMI Cable 2m,Clothing,HomeEase
P00021,Backpack,Sports & Outdoors,HomeEase
P00008,4K Monitor,Electronics,Apex
P00027,Winter Jacket,Sports & Outdoors,CoreTech
P00050,Novel Bestseller,Home & Kitchen,Zenith
P00010,Smartwatch,Books,Apex
P00015,Instant Pot,Books,BrightLux
P00050,Novel Bestseller,Electronics,ReadMore
P00028,Jeans,Clothing,Zenith
P00026,Sunglasses,Clothing,KiddoFun
